name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,throwback_logo
Kennesaw State Owls,ncaa,#FDBB30,#0B1315,#C5C6C8,NA,A-Sun,Kennesaw State,Owls,Kennesaw State Owls,http://content.sportslogos.net/logos/32/4949/thumbs/494939612012.gif,
Kent State Golden Flashes,ncaa,#002664,#EAAB00,NA,NA,MAC,Kent State,Golden Flashes,Kent State Golden Flashes,http://content.sportslogos.net/logos/32/720/thumbs/72036552012.gif,
Kentucky Wildcats,ncaa,#0033A0,#FFFFFF,#000000,NA,SEC,Kentucky,Wildcats,Kentucky Wildcats,http://content.sportslogos.net/logos/32/721/thumbs/72178322016.gif,
La Salle Explorers,ncaa,#FFCC00,#003366,NA,NA,A-10,La Salle,Explorers,La Salle Explorers,http://content.sportslogos.net/logos/32/724/thumbs/gt5hdsffx86dsn0rjc0upzjtg.gif,
Lipscomb Bisons,ncaa,#331E54,#F4AA00,#000000,NA,A-Sun,Lipscomb,Bisons,Lipscomb Bisons,http://content.sportslogos.net/logos/32/729/thumbs/72944222014.gif,
Little Rock,ncaa,#6E2639,#A7A9AC,NA,NA,Sunbelt,Little Rock,NA,Little Rock Trojans,http://content.sportslogos.net/logos/32/5844/thumbs/584413522015.gif,
LMU (CA),ncaa,#B62B3A,#00447C,#617080,#231F20,WCC,LMU,(CA),Loyola Marymount Lions,http://content.sportslogos.net/logos/32/737/thumbs/73768392006.gif,
Long Beach State,ncaa,#FFC72A,#000000,NA,NA,Big West,Long Beach State,NA,Long Beach State 49ers,http://content.sportslogos.net/logos/32/730/thumbs/73050262014.gif,
Louisiana,ncaa,#CE181E,#0A0203,#C1C5C9,#F18C21,Sunbelt,Louisiana,NA,Louisiana Ragin Cajuns,http://content.sportslogos.net/logos/32/732/thumbs/2511.gif,
Louisiana Tech Bulldogs,ncaa,#E31B23,#A2AAAD,#111111,NA,C-USA,Louisiana Tech,Bulldogs,Louisiana Tech Bulldogs,http://content.sportslogos.net/logos/32/731/thumbs/eeb5y75gih97igg7lxvph7v4o.gif,
Louisiana-Monroe,ncaa,#800029,#BD955A,#646469,#DAD86D,Sunbelt,Louisiana-Monroe,NA,Louisiana-Monroe Warhawks,http://content.sportslogos.net/logos/32/733/thumbs/73372142015.gif,
Louisville Cardinals,ncaa,#AD0000,#000000,#FDB913,#CCCCCC,ACC,Louisville,Cardinals,Louisville Cardinals,http://content.sportslogos.net/logos/32/734/thumbs/73446722007.gif,
Loyola Chicago Ramblers,ncaa,#922247,#FEBD18,NA,NA,MVC,Loyola,Chicago Ramblers,Loyola Ramblers,http://content.sportslogos.net/logos/32/735/thumbs/73533062012.gif,
LSU,ncaa,#461D7C,#FDD023,NA,NA,SEC,LSU,NA,LSU Tigers,http://content.sportslogos.net/logos/32/723/thumbs/72396272014.gif,
Maine Black Bears,ncaa,#003263,#B0D7FF,#AB0634,#908C89,Am. East,Maine,Black Bears,Maine Black Bears,http://content.sportslogos.net/logos/32/738/thumbs/blkfbg8zghmh0m8i7v9lrl5c6.gif,
Manhattan,ncaa,#00703C,#FFFFFF,NA,NA,MAAC,Manhattan,NA,Manhattan Jaspers,http://content.sportslogos.net/logos/32/739/thumbs/73917732012.gif,
Marist,ncaa,#C8102E,#B2B2B2,#000000,NA,MAAC,Marist,NA,Marist Red Foxes,http://content.sportslogos.net/logos/32/740/thumbs/x8kgikten7tgkyx12bgfx1f9f.gif,
Marquette Golden Eagles,ncaa,#003366,#FFCC00,NA,NA,Big East,Marquette,Golden Eagles,Marquette Golden Eagles,http://content.sportslogos.net/logos/32/741/thumbs/lk47sf36h6g3y141mktt.gif,
